model,problems,correct,attempts,condition,mode,level,type,threshold
gemma2-2b,500,63,1.0,baseline,greedy,all,all,0.0
gemma2-2b,500,51,1.0,openmath,greedy,all,all,0.0
gemma2-2b,43,20,1.0,baseline,greedy,1,all,0.0
gemma2-2b,43,12,1.0,openmath,greedy,1,all,0.0
gemma2-2b,90,23,1.0,baseline,greedy,2,all,0.0
gemma2-2b,90,22,1.0,openmath,greedy,2,all,0.0
gemma2-2b,105,12,1.0,baseline,greedy,3,all,0.0
gemma2-2b,105,8,1.0,openmath,greedy,3,all,0.0
gemma2-2b,128,6,1.0,baseline,greedy,4,all,0.0
gemma2-2b,128,6,1.0,openmath,greedy,4,all,0.0
gemma2-2b,134,2,1.0,baseline,greedy,5,all,0.0
gemma2-2b,134,3,1.0,openmath,greedy,5,all,0.0
gemma2-2b,124,26,1.0,baseline,greedy,all,algebra,0.0
gemma2-2b,124,22,1.0,openmath,greedy,all,algebra,0.0
gemma2-2b,38,1,1.0,baseline,greedy,all,counting_&_probability,0.0
gemma2-2b,38,1,1.0,openmath,greedy,all,counting_&_probability,0.0
gemma2-2b,41,0,1.0,baseline,greedy,all,geometry,0.0
gemma2-2b,41,1,1.0,openmath,greedy,all,geometry,0.0
gemma2-2b,97,5,1.0,baseline,greedy,all,intermediate_algebra,0.0
gemma2-2b,97,2,1.0,openmath,greedy,all,intermediate_algebra,0.0
gemma2-2b,62,12,1.0,baseline,greedy,all,number_theory,0.0
gemma2-2b,62,8,1.0,openmath,greedy,all,number_theory,0.0
gemma2-2b,82,14,1.0,baseline,greedy,all,prealgebra,0.0
gemma2-2b,82,13,1.0,openmath,greedy,all,prealgebra,0.0
gemma2-2b,56,5,1.0,baseline,greedy,all,precalculus,0.0
gemma2-2b,56,4,1.0,openmath,greedy,all,precalculus,0.0
gemma2-2b,201,33,1.0,baseline,greedy,all,all,0.1
gemma2-2b,201,26,1.0,openmath,greedy,all,all,0.1
gemma2-2b,19,12,1.0,baseline,greedy,1,all,0.1
gemma2-2b,19,8,1.0,openmath,greedy,1,all,0.1
gemma2-2b,39,9,1.0,baseline,greedy,2,all,0.1
gemma2-2b,39,8,1.0,openmath,greedy,2,all,0.1
gemma2-2b,52,8,1.0,baseline,greedy,3,all,0.1
gemma2-2b,52,4,1.0,openmath,greedy,3,all,0.1
gemma2-2b,43,3,1.0,baseline,greedy,4,all,0.1
gemma2-2b,43,4,1.0,openmath,greedy,4,all,0.1
gemma2-2b,48,1,1.0,baseline,greedy,5,all,0.1
gemma2-2b,48,2,1.0,openmath,greedy,5,all,0.1
gemma2-2b,52,16,1.0,baseline,greedy,all,algebra,0.1
gemma2-2b,52,15,1.0,openmath,greedy,all,algebra,0.1
gemma2-2b,19,1,1.0,baseline,greedy,all,counting_&_probability,0.1
gemma2-2b,19,1,1.0,openmath,greedy,all,counting_&_probability,0.1
gemma2-2b,15,0,1.0,baseline,greedy,all,geometry,0.1
gemma2-2b,15,1,1.0,openmath,greedy,all,geometry,0.1
gemma2-2b,32,4,1.0,baseline,greedy,all,intermediate_algebra,0.1
gemma2-2b,32,1,1.0,openmath,greedy,all,intermediate_algebra,0.1
gemma2-2b,24,4,1.0,baseline,greedy,all,number_theory,0.1
gemma2-2b,24,2,1.0,openmath,greedy,all,number_theory,0.1
gemma2-2b,28,6,1.0,baseline,greedy,all,prealgebra,0.1
gemma2-2b,28,3,1.0,openmath,greedy,all,prealgebra,0.1
gemma2-2b,31,2,1.0,baseline,greedy,all,precalculus,0.1
gemma2-2b,31,3,1.0,openmath,greedy,all,precalculus,0.1
gemma2-2b,171,27,1.0,baseline,greedy,all,all,0.2
gemma2-2b,171,21,1.0,openmath,greedy,all,all,0.2
gemma2-2b,16,10,1.0,baseline,greedy,1,all,0.2
gemma2-2b,16,7,1.0,openmath,greedy,1,all,0.2
gemma2-2b,32,6,1.0,baseline,greedy,2,all,0.2
gemma2-2b,32,5,1.0,openmath,greedy,2,all,0.2
gemma2-2b,40,7,1.0,baseline,greedy,3,all,0.2
gemma2-2b,40,3,1.0,openmath,greedy,3,all,0.2
gemma2-2b,38,3,1.0,baseline,greedy,4,all,0.2
gemma2-2b,38,4,1.0,openmath,greedy,4,all,0.2
gemma2-2b,45,1,1.0,baseline,greedy,5,all,0.2
gemma2-2b,45,2,1.0,openmath,greedy,5,all,0.2
gemma2-2b,44,13,1.0,baseline,greedy,all,algebra,0.2
gemma2-2b,44,12,1.0,openmath,greedy,all,algebra,0.2
gemma2-2b,16,1,1.0,baseline,greedy,all,counting_&_probability,0.2
gemma2-2b,16,1,1.0,openmath,greedy,all,counting_&_probability,0.2
gemma2-2b,14,0,1.0,baseline,greedy,all,geometry,0.2
gemma2-2b,14,0,1.0,openmath,greedy,all,geometry,0.2
